detector,descriptor,img_id,ttc_camera,ttc_lidar,offset_t,offset_p,camera_time,lidar_time
ORB,BRIEF,0006,18.5476,14.3362,4.21137,0.256137,0.262144,42.4673
ORB,BRIEF,0007,24.0799,23.3809,0.699053,0.0294581,0.786432,39.977
ORB,BRIEF,0008,28.9139,21.8421,7.07178,0.278658,0.262144,37.6177
ORB,BRIEF,0009,36.0799,13.7378,22.3421,0.896956,0.262144,35.7827
ORB,BRIEF,0010,34.3407,18.0818,16.259,0.620305,0.524288,34.2098
ORB,BRIEF,0011,17.781,16.5097,1.27125,0.0741454,0.131072,35.3894
ORB,BRIEF,0012,15.6744,12.5438,3.13061,0.221885,0.262144,38.5352
ORB,BRIEF,0013,16.6491,9.66153,6.9876,0.531161,0.262144,41.2877
ORB,BRIEF,0014,10.0669,10.0954,0.0284668,0.00282376,0.131072,42.7295
ORB,BRIEF,0015,10.2404,9.53099,0.70938,0.0717583,0.131072,42.2052
ORB,BRIEF,0016,11.5027,8.45407,3.04863,0.305524,0.262144,42.0741
ORB,BRIEF,0017,9.08417,9.55324,0.469063,0.0503356,0.131072,40.2391
ORB,BRIEF,0018,14.7559,9.30116,5.45475,0.453484,0.131072,43.647
ORB,ORB,0001,-inf,12.9722,inf,-nan,0.131072,42.7295
ORB,ORB,0002,-inf,12.6181,inf,-nan,0.131072,39.5837
ORB,ORB,0003,10.9017,13.0901,2.18839,0.182428,0.131072,37.7487
ORB,ORB,0004,15.9967,10.5159,5.48073,0.413444,0.131072,38.5352
ORB,ORB,0005,18.722,11.6834,7.03864,0.462985,0.131072,42.5984
ORB,ORB,0006,-inf,14.3362,inf,-nan,0.131072,40.6323
ORB,ORB,0007,-inf,23.3809,inf,-nan,0.131072,40.5012
ORB,ORB,0008,-inf,21.8421,inf,-nan,0.131072,37.0934
ORB,ORB,0009,-inf,13.7378,inf,-nan,0.262144,34.603
ORB,ORB,0010,-inf,18.0818,inf,-nan,0.131072,34.2098
ORB,ORB,0011,-inf,16.5097,inf,-nan,0,36.3069
ORB,ORB,0012,-inf,12.5438,inf,-nan,0.131072,39.3216
ORB,ORB,0013,-inf,9.66153,inf,-nan,0.131072,38.9284
ORB,ORB,0014,19.3127,10.0954,9.21729,0.626853,0.131072,42.8605
ORB,ORB,0015,-inf,9.53099,inf,-nan,0.131072,41.6809
ORB,ORB,0016,-inf,8.45407,inf,-nan,0.131072,41.943
